Entry	Sam_16S_01	Sam_16S_02	Sam_16S_03	Sam_16S_04	Sam_16S_05	Sam_16S_06	Sam_16S_07	Sam_16S_08	Sam_16S_09	Sam_16S_10	Sam_16S_11	Sam_16S_12	Sam_16S_13	Sam_16S_14	Sam_16S_15	Sam_16S_16	Sam_16S_17	Sam_16S_18	Sam_16S_19	Sam_16S_20	Sam_16S_21	Sam_16S_22	Sam_16S_23	Sam_16S_24	Sam_16S_25	Sam_16S_26
OTU195	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0
OTU196	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
OTU197	2	223	7	167	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	3	0	0	0
OTU198	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
OTU199	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0
OTU2	5	1	46010	141	2	261	34147	402	14	0	580	0	0	0	10	0	0	0	42565	54	0	249	23	15685	0	7
OTU20	1694	135	23	35	3282	0	21	353	4	0	153	599	0	590	1	0	306	4505	7	32	1768	0	15	16	1162	0
OTU200	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	4	0	0	0
OTU201	26	4	6	1	4	0	1	0	0	0	0	0	0	0	0	0	1	1	4	0	40	1	16	2	0	0
OTU202	0	0	0	0	0	0	14	8	0	0	0	0	0	0	0	0	1	0	0	0	3	0	26	0	0	0
OTU203	0	33	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	0	0	0	0	0
OTU204	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
OTU205	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	3	0	0	0
OTU206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	1	0
OTU207	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0
OTU208	0	28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU209	45	2	0	0	15	0	0	0	0	0	16	15	0	0	0	0	61	1593	1	3	83	0	5	6	32	0
OTU21	0	0	10	25	0	136	9	0	301	0	0	0	1126	0	207	0	0	0	2	9	0	135	44	0	0	3143
OTU210	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
OTU211	1	0	0	0	4	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	70	1	0	0	0
OTU212	0	4	0	14	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	5	7	6	0	0	0	0
OTU213	1	0	0	10	0	7	6	0	0	0	0	0	0	0	0	0	0	0	2	6	10	3	5	0	0	0
OTU214	2	1	0	0	6	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	12	0	0	0
OTU215	0	0	0	0	7	1	5	0	0	0	5	0	0	0	0	0	0	0	0	0	17	0	14	0	0	0
OTU216	0	1	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
OTU217	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	3	0	0
OTU218	1	4	0	5	11	3	0	0	0	0	0	0	0	0	0	0	0	2	1	2	15	4	0	0	0	0
OTU219	0	35	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
OTU22	9	6	0	1	1	3319	10	0	140	0	25	0	8	0	89	0	0	0	0	0	0	2531	3	0	0	28
OTU220	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0
OTU221	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	10	0	0	0
OTU222	0	2	0	0	4	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	39	0	0	0
OTU223	0	0	0	0	0	0	0	0	9	0	0	0	0	0	16	0	0	0	0	1	0	0	0	0	0	0
OTU224	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	17	0	0
OTU225	0	2	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0
OTU226	0	0	0	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0
OTU227	1	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	2	0	0	0
OTU228	0	0	0	406	4	933	5	0	0	0	0	0	0	0	0	0	0	0	0	137	0	831	0	0	0	0
OTU229	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
OTU23	821	2337	0	65	2203	0	1	0	0	0	33	95	0	0	0	0	1092	1431	0	75	1565	0	24	38	166	0
OTU230	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
OTU231	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0
OTU232	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0
OTU233	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
OTU234	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	2	0
OTU235	1	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	16	0	0	0
OTU236	0	0	13	6	0	11	0	0	1	0	0	2	0	0	0	0	1	0	7	2	8	5	0	0	0	0
OTU237	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
OTU238	5	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	25	0	1	0	0	0
OTU239	0	2	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0
OTU24	2269	699	19	17	606	313	25	0	0	0	21	0	0	0	0	0	8	26	9	10	2517	137	27	8	0	0
OTU240	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
OTU241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0
OTU242	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0
OTU243	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	19	0	0	0
OTU244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
OTU245	0	17	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU246	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
OTU247	0	5	0	16	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	11	3	0	0	0	0	0
OTU248	7	41	11	33	1	25	5	0	0	53	0	0	0	0	0	40	1	0	7	20	18	17	3	0	0	0
OTU249	0	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU25	412	1739	18	231	538	38	7	0	0	0	0	0	0	0	1	0	0	10	4	172	2191	26	17	0	0	0
OTU250	1	1	2	6	6	1	5	0	8	0	0	0	1	0	9	0	0	0	0	5	16	5	11	0	0	1
OTU251	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	1	0	1	0	0	0
OTU252	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1
OTU253	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
OTU254	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0
