Entry	Sam_16S_01	Sam_16S_02	Sam_16S_03	Sam_16S_04	Sam_16S_05	Sam_16S_06	Sam_16S_07	Sam_16S_08	Sam_16S_09	Sam_16S_10	Sam_16S_11	Sam_16S_12	Sam_16S_13	Sam_16S_14	Sam_16S_15	Sam_16S_16	Sam_16S_17	Sam_16S_18	Sam_16S_19	Sam_16S_20	Sam_16S_21	Sam_16S_22	Sam_16S_23	Sam_16S_24	Sam_16S_25	Sam_16S_26
ASV1189	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
ASV119	0	2	0	0	9	5	3	0	1	262	0	0	1	0	0	248	0	0	1	0	10	2	1	0	0	1
ASV1190	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
ASV1191	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
ASV1192	0	0	0	0	1	0	0	0	8	0	0	0	0	0	13	0	0	0	0	0	5	0	0	0	0	0
ASV1193	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	11	0
ASV1194	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	1	0	15	0
ASV1195	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	10	0
ASV1196	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	15
ASV1197	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	17
ASV1198	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	21	0	0	0	0	0	0	0	0	0
ASV1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
ASV12	0	0	0	0	3	0	0	7473	0	0	0	0	0	14731	0	0	2651	1	1	0	0	0	0	0	0	0
ASV120	20	504	0	10	38	0	1	0	0	0	0	0	0	0	0	0	0	31	0	3	32	0	12	0	0	0
ASV1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0	0
ASV1201	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
ASV1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
ASV1203	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0
ASV1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
ASV1205	0	0	0	0	0	0	9	5	0	0	0	0	0	0	0	0	1	0	0	0	2	0	21	0	0	0
ASV1206	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	1	0	0
ASV1207	3	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	3	0
ASV1208	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	15	0	0	0	0	0
ASV1209	0	20	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV121	0	1	1	2	0	10	71	0	0	0	0	0	0	0	0	0	0	1	2	3	91	1	318	0	0	0
ASV1210	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1211	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV1212	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
ASV1213	0	20	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1214	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1215	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	10	0
ASV1216	6	0	1	0	3	8	1	0	0	0	0	0	0	0	0	0	1	3	0	0	5	3	0	0	0	0
ASV1217	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
ASV1218	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV1219	6	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0
ASV122	1	14	0	9	0	16	1	0	1	266	0	0	0	0	0	194	0	0	0	5	2	9	2	0	0	0
ASV1220	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
ASV1221	0	0	0	0	1	0	1	0	5	0	0	0	0	0	8	0	0	0	0	0	2	0	3	0	0	0
ASV1222	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
ASV1223	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
ASV1224	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
ASV1225	0	0	1	0	1	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	4	0	0	0	0
ASV1226	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
ASV1227	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
ASV1228	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
ASV1229	0	0	0	0	0	0	0	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0
ASV123	73	36	0	6	9	0	0	0	36	0	6	108	0	23	4	0	14	482	0	3	17	0	2	2	36	0
ASV1230	0	0	0	1	0	0	0	0	19	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV1231	7	2	0	0	1	0	0	0	19	0	0	1	0	0	1	0	4	2	0	1	5	0	4	0	2	0
ASV1232	0	0	0	3	0	0	0	0	16	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0
ASV1233	0	0	0	0	0	0	0	0	19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV1234	0	0	2	1	0	0	5	0	0	6	0	0	0	0	0	14	0	0	4	5	0	0	4	0	0	0
ASV1235	0	0	0	0	0	0	1	0	11	0	0	20	0	0	1	0	0	10	0	1	0	0	1	0	5	0
ASV1236	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
ASV1237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	6	0	0
ASV1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
ASV1239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
ASV124	0	0	0	1	0	197	0	0	2	0	0	0	6	0	1	0	0	0	0	0	0	266	0	0	0	3
ASV1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20	0	0	1	0	0	0	0	0
ASV1241	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	20	0	0	3	0	0	0	1	0
ASV1242	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
ASV1243	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
ASV1244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
ASV1245	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
ASV1246	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
ASV1247	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	1	0	1	0	2	0
ASV1248	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	11	0	0	0	0	0	0	0	0
ASV1249	2	3	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	6	0	0	0	0	0
ASV125	0	5	0	209	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	235	0	2	0	0	0	0
ASV1250	4	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	1	0
ASV1251	1	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0
ASV1252	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0
ASV1253	12	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV1254	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1255	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	1	0	0	0	0	1	2	8	0
